episode,my_deck,opp_archetype,result_me,winner
81697630,H.Ito,tf,0,Hops-Clefairy,MegaLucario,H.Ito,1
81700896,Toru59er,H.Ito,1,Hops-Clefairy,MegaLucario,H.Ito,1
81702123,Shun,H.Ito,1,Hops-Clefairy,MegaStarmie,Shun,-1
81703229,H.Ito,Yoshimura Soichiro,0,Hops-Clefairy,MegaLucario,H.Ito,1
81708463,Oliver King,H.Ito,1,Hops-Clefairy,MegaStarmie,H.Ito,1
81709178,持ち物検査,H.Ito,1,Hops-Clefairy,"other:[157, 158]",H.Ito,1
81709623,H.Ito,nyanlinnmya,0,Hops-Clefairy,MegaStarmie,H.Ito,1
81712158,YUTO KOJIMA,H.Ito,1,Hops-Clefairy,Crustle,H.Ito,1
81718508,H.Ito,Blake Mosley,0,Hops-Clefairy,Dragapult,Blake Mosley,-1
81720186,さやのーず,H.Ito,1,Hops-Clefairy,Dragapult,さやのーず,-1
81723409,mcw999,H.Ito,1,Hops-Clefairy,MegaStarmie,mcw999,-1
81728174,H.Ito,srikalyan,0,Hops-Clefairy,MegaStarmie,srikalyan,-1
81730368,H.Ito,テライFACC,0,Hops-Clefairy,Slowking,テライFACC,-1
81750270,H.Ito,qiao jinxia07,0,Hops-Clefairy,MegaLucario,qiao jinxia07,-1
81754213,H.Ito,kaggle_bbgg,0,Hops-Clefairy,MegaLucario,H.Ito,1
81759200,Ketchum Alt,H.Ito,1,Hops-Clefairy,Hops,H.Ito,1
81762500,Reyhan Ksatria,H.Ito,1,Hops-Clefairy,MegaLucario,H.Ito,1
81770004,H.Ito,Edward Lue Chee Lip,0,Hops-Clefairy,Hops,H.Ito,1
81781401,soju,H.Ito,1,Hops-Clefairy,Crustle,soju,-1
81792300,H.Ito,Yuma Takeuchi,0,Hops-Clefairy,Alakazam,H.Ito,1
81793364,Cosmic Birefringence,H.Ito,1,Hops-Clefairy,MegaStarmie,Cosmic Birefringence,-1
81795177,H.Ito,miyajiyuta,0,Hops-Clefairy,Walrein,H.Ito,1
81798546,hookbook,H.Ito,1,Hops-Clefairy,Alakazam,H.Ito,1
81800327,ACoder,H.Ito,1,Hops-Clefairy,MegaLucario,ACoder,-1
81809842,H.Ito,nekokaeru,0,Hops-Clefairy,Dragapult,nekokaeru,-1
81810691,H.Ito,Bruno Escalhao,0,Hops-Clefairy,MegaLucario,Bruno Escalhao,-1
81813490,kmn,H.Ito,1,Hops-Clefairy,MegaLucario,kmn,-1
81820308,H.Ito,ごんさくよねきち,0,Hops-Clefairy,MegaLucario,ごんさくよねきち,-1
81820771,Soichiro Kuribayashi,H.Ito,1,Hops-Clefairy,MegaStarmie,Soichiro Kuribayashi,-1
81821355,Kohenyan,Yushin Ito,-1,,,Kohenyan,
81821763,MtN,Yushin Ito,-1,,,MtN,
81821814,Yushin Ito,kashiwashira,-1,,,Yushin Ito,
81821821,Yushin Ito,shogo1229,-1,,,Yushin Ito,
81822430,kami,Yushin Ito,-1,,,kami,
81823037,Shunji Minode,Yushin Ito,-1,,,Yushin Ito,
81823646,Yushin Ito,Akito Maruo,-1,,,Yushin Ito,
81824287,katsudon 421,Yushin Ito,-1,,,Yushin Ito,
81824871,yomogi mochi,Yushin Ito,-1,,,Yushin Ito,
81825476,Yushin Ito,MtN,-1,,,Yushin Ito,
81825937,Yushin Ito,Jaga,-1,,,Yushin Ito,
81826409,Yushin Ito,tomatomato,-1,,,Yushin Ito,
81827048,Jaga,Yushin Ito,-1,,,Yushin Ito,
81827388,Yushin Ito,Karolina Kafel,-1,,,Yushin Ito,
81827934,Yushin Ito,TG_Aetheryx,-1,,,Yushin Ito,
81828469,H.Ito,FirstSS-Sub,0,Hops-Clefairy,Hops,H.Ito,1
81828629,Yushin Ito,tomatomato,-1,,,Yushin Ito,
81829179,Yushin Ito,Jaga,-1,,,Yushin Ito,
81829645,tomatomato,Yushin Ito,-1,,,Yushin Ito,
81830261,Yushin Ito,TG_Aetheryx,-1,,,Yushin Ito,
81830726,Yushin Ito,keidroid,-1,,,Yushin Ito,
81831350,tomatomato,Yushin Ito,-1,,,Yushin Ito,
81831951,Yushin Ito,Kimiaki Nakamura,-1,,,Yushin Ito,
81832427,Yushin Ito,Mogja J,-1,,,Yushin Ito,
81833038,Karolina Kafel,Yushin Ito,-1,,,Yushin Ito,
81833515,Yushin Ito,Shun,-1,,,Yushin Ito,
81833979,Shun,Yushin Ito,-1,,,Yushin Ito,
81836664,Praxel,H.Ito,1,Hops-Clefairy,MegaLucario,H.Ito,1
81841614,aoi_sugawara,H.Ito,1,Hops-Clefairy,Dragapult,aoi_sugawara,-1
81851043,Yushin Ito,keidroid,-1,,,Yushin Ito,
81851452,H.Ito,KojiKRSE,0,Hops-Clefairy,Hops,H.Ito,1
81860166,koucha,H.Ito,1,Hops-Clefairy,Alakazam,H.Ito,1
81863041,H.Ito,peeta pit,0,Hops-Clefairy,MegaLucario,peeta pit,-1
81260136,H.Ito,H.Ito,0,MegaStarmie,MegaStarmie,H.Ito,-1
81262386,箕面からこんにちわ,H.Ito,1,MegaStarmie,MegaLucario,箕面からこんにちわ,-1
81263171,Clawdia Sakamoto,H.Ito,1,MegaStarmie,"other:[722, 723, 1145]",H.Ito,1
81263773,psyrax012,H.Ito,1,MegaStarmie,"other:[878, 879, 1115]",H.Ito,1
81264352,Mohammad Hatoum,H.Ito,1,MegaStarmie,"other:[722, 723, 1145]",Mohammad Hatoum,-1
81444156,H.Ito,H.Ito,0,Dragapult,Dragapult,H.Ito,1
81546138,H.Ito,gota,0,Dragapult,"other:[722, 723, 1145]",H.Ito,1
81556897,tf,H.Ito,1,Dragapult,MegaLucario,tf,-1
81559516,bambi_create,H.Ito,1,Dragapult,Alakazam,H.Ito,1
81562234,H.Ito,SuicuneGS,0,Dragapult,"other:[379, 381, 1121]",SuicuneGS,-1
81811758,Yushin Ito,Yushin Ito,-1,,,Yushin Ito,
81812456,Ryosuke Aihara,Yushin Ito,-1,,,Yushin Ito,
81812916,Oleksandr_Savsunenko,Yushin Ito,-1,,,Yushin Ito,
81813384,Yushin Ito,y.shimada,-1,,,Yushin Ito,
81813837,llkarill,Yushin Ito,-1,,,Yushin Ito,
81813946,nekokaeru,Yushin Ito,-1,,,Yushin Ito,
81814450,Yushin Ito,Yuya Fujiwara,-1,,,Yushin Ito,
81814921,banana,Yushin Ito,-1,,,Yushin Ito,
81815542,Bakuney,Yushin Ito,-1,,,Yushin Ito,
81816006,HIMIHIMI,Yushin Ito,-1,,,HIMIHIMI,
81816496,Yushin Ito,【ＡＩと共に、ＡＩと戦う】tubotu,-1,,,Yushin Ito,
81816926,Yushin Ito,zoroark190,-1,,,Yushin Ito,
81817537,Yushin Ito,foo_foo,-1,,,foo_foo,
81818144,Yushin Ito,Ajishio,-1,,,Yushin Ito,
81818787,TG_Aetheryx,Yushin Ito,-1,,,Yushin Ito,
81819358,Yushin Ito,Gotem Penguin,-1,,,Yushin Ito,
81819815,Yushin Ito,yamy893,-1,,,Yushin Ito,
81820273,Yushin Ito,TG_Aetheryx,-1,,,Yushin Ito,
81820745,ysakuragi,Yushin Ito,-1,,,ysakuragi,
81864775,Jaga,Yushin Ito,-1,,,Yushin Ito,
